info_type_id,movie_id,info,title,production_year
3,733653,Western,"Dr. Quinn - Ã„rztin aus Leidenschaft",1993
3,695079,Western,"Walt Disney",1981
3,2586833,Western,Dakota,1963
3,695079,Western,Disney-Land,1966
3,1113138,Western,"Last of the Mohicans",1957
3,2640810,Western,"Ai confini dell'Arizona",1967
3,2745341,Western,"Racconti della frontiera",1976
3,1533363,Western,"Pioniere der PrÃ¤rie - Der lange Weg nach Westen",1974
3,1671527,Western,"Lanjski sneg",2001
3,878984,Western,"I forti di Forte Coraggio",1965
3,1405687,Western,"Isamu the Wilderness Boy",1973
3,2637831,Western,"Il grande teatro del west",1967
3,1552360,Western,"Larry McMurtry's Tales of the Plains",2001
3,2626538,Western,"Melody Ranch",1950
3,637912,Western,"Im wilden Westen",1991
3,695562,Western,"Louis L'Amour's The Cherokee Trail",NULL
3,2887904,Western,"Tombstone Territory",1957
3,2461738,Western,"Wells Fargo",1991
3,2626538,Western,"Le avventure di Gene Autry",1950
3,2706818,Western,"The NBC Sunday Mystery Movie",1972
3,1378412,Western,"La valle dell'oro",1960
3,633670,Western,"Larry McMurtry's Dead Man's Walk",1996
3,739667,Western,"Das abenteuerliche Leben des John Charles Fremont",1987
3,1503466,Western,"Die Liebenden vom Red River",1996
3,2464067,Western,"Shelley Duvall's Tall Tales & Legends",1985
3,1824622,Western,"James Garner",1971
3,2822269,Western,"Quel selvaggio West",1965
3,1198853,Western,"Durch die HÃ¶lle nach Westen",1991
3,451532,Western,Cheyenne,1955
3,635659,Western,Deadwood,2004
3,2917593,Western,"Tremors: The Series",2002
3,1072734,Western,"Rauchende Colts",1967
3,637912,Western,"Call of the West",1952
3,2267995,Western,"Oki's Oasis",2013
3,2135989,Western,"Wildes Land",1993
3,1072734,Western,Gunsmoke,1955
3,354879,Western,Bronco,1958
3,1398118,Western,"The Warrior",NULL
3,2464067,Western,"Tall Tales and Legends",1985
3,1552332,Western,"Larry McMurtry's Lonesome Dove",1989
3,968174,Western,Furia,1955
3,2756953,Western,"Westlich von Santa Fe",1969
3,410600,Western,"Casey Jones, der LokomotivfÃ¼hrer",1960
3,2570185,Western,"Der lange Treck",1982
3,150615,Western,"Dominion Creek",2015
3,1482815,Western,"Lo sceriffo indiano",1959
3,2002006,Western,"Pistolen und Petticoats",1967
3,2706818,Western,"The NBC Tuesday Mystery Movie",1974
3,1509370,Western,"The New Adventures of Lucky Luke",2001
3,1583374,Western,"Lucky Luke",1992
3,1175737,Western,Hondo,1967
3,2543625,Western,"Big Valley",1969
3,968174,Western,"Fury-Die Abenteuer eines Pferdes",1958
3,1509370,Western,"Les nouvelles aventures de Lucky Luke",2001
3,2045929,Western,"Six Day Road: Episode Zero",2013
3,1533363,Western,"Unsere kleine Farm",1991
3,962052,Western,"Man of the West",1958
3,2461738,Western,"Wells Fargo",1964
3,1072734,Western,"Storie del vecchio west",1955
3,2083160,Western,"Reina de espadas",2000
3,3049913,Western,"Sam Bolt, Texas Ranger",1993
3,1482893,Western,"The Lawman",1958
3,2045929,Western,"Six Day Road",2012
3,1552360,Western,"Colomba solitaria",1994
3,928333,Western,"The Fjord Cowboys",2014
3,430682,Western,"Colorado Saga",1984
3,968174,Western,"Brave Stallion",1955
3,1671527,Western,"Tajna Veselog majmunceta",1993
3,2519558,Western,"Champion the Wonder Horse",2005
3,1583382,Western,"The Adventures of Lucky Luke",NULL
3,47851,Western,"Der Mann ohne Namen",1967
3,678366,Western,"Bas de cuir",1970
3,695079,Western,"The Magical World of Disney",1988
3,695079,Western,Disneyland,1954
3,2683776,Western,"I magnifici sette",1998
3,578765,Western,"Colonel Custer",1991
3,2681310,Western,"Cavaliere solitario",1965
3,1533363,Western,L.H.O.T.P.,1974
3,733653,Western,"Dr. Quinn",1993
3,2677017,Western,"The Life and Legend of Wyatt Earp",1955
3,637912,Western,"Western Star Theater",1952
3,2250468,Western,"Il sergente Preston",1955
3,344414,Western,"GroÃŸer Adler - HÃ¤uptling der Cheyenne",1955
3,2668585,Western,"Der letzte Mohikaner",2017
3,2920662,Western,Toraigan,1998
3,909593,Western,"Storie della prateria",1981
3,2363260,Western,"Spirit: wild und frei",2017
3,248874,Western,"Cash and Cable",1975
